Dim1,Dim2,Class
-4.431573,20.383615,3.0
-68.498695,23.363157,1.0
11.686364,11.908118,3.0
48.374237,-18.465412,4.0
1.8739882,44.79016,3.0
-53.380634,12.805662,1.0
-17.605242,-8.235077,4.0
13.927431,-0.6644143,3.0
63.573578,-20.283222,4.0
-66.19523,16.08208,4.0
15.266972,22.504313,5.0
-68.64749,23.038641,1.0
-9.723369,-15.197194,1.0
6.7403474,-84.333015,4.0
-19.951742,13.34907,1.0
18.144695,22.947319,1.0
-72.21041,22.527138,1.0
-52.122013,4.9721713,1.0
11.042041,-4.7666674,4.0
-30.949806,0.07366833,4.0
-43.267,12.515304,1.0
-68.35624,25.136065,4.0
-50.374466,23.459639,3.0
-15.088254,16.172205,1.0
24.525993,17.516062,1.0
-66.80672,16.643055,1.0
9.706572,4.4158945,4.0
-43.054703,47.162586,1.0
-80.19338,30.589314,1.0
-69.16815,23.973131,1.0
28.208246,17.090107,4.0
54.17409,-19.939314,1.0
-9.263897,51.300213,1.0
6.4772444,7.168364,1.0
-46.63069,19.14955,1.0
-58.8603,-21.889675,
-77.46552,31.296164,1.0
-27.969248,9.897337,4.0
0.10708224,33.77532,3.0
-74.806725,29.410707,1.0
-62.704414,27.47505,1.0
3.522435,-58.412113,4.0
-57.171135,21.80883,1.0
-38.377193,9.045556,1.0
-8.588191,28.225718,1.0
-0.34288484,0.4475123,3.0
3.7381182,43.316326,1.0
-48.818153,22.213423,3.0
-75.17131,28.63256,3.0
-7.6175585,50.540462,1.0
-12.438202,46.810295,5.0
-73.918655,27.868383,1.0
-18.914875,-4.451322,4.0
-30.711918,47.96507,3.0
-34.767056,47.06224,
17.015604,-4.479419,4.0
10.452174,-78.16597,4.0
58.92707,-19.766668,4.0
21.102335,40.895256,1.0
19.964222,58.208755,4.0
-20.573292,-28.601791,4.0
2.178458,23.850592,4.0
-22.685598,-51.9389,4.0
-16.07788,48.91149,1.0
32.642498,29.892666,1.0
72.241936,-18.538385,4.0
-15.262223,9.083147,3.0
0.6630289,39.09167,4.0
63.826218,10.15186,4.0
-67.116486,21.13847,1.0
-30.04178,9.006718,4.0
-6.9209375,28.771244,1.0
33.136536,19.946869,1.0
18.964432,35.10155,1.0
22.59081,39.455936,
3.103308,22.050768,1.0
48.80216,-2.8546104,4.0
3.8479226,42.447483,1.0
-46.908722,24.048931,1.0
1.9292324,-9.967137,1.0
22.558687,-3.5262341,3.0
19.313519,12.5281105,3.0
19.688057,43.655666,4.0
10.216422,-13.482578,4.0
18.77625,-8.981571,3.0
23.691574,39.907333,3.0
-45.735085,-3.1041331,4.0
30.322954,35.574753,1.0
5.3141704,26.70457,1.0
-60.435604,3.1586325,4.0
-46.1234,24.24806,1.0
22.348747,24.735641,1.0
-68.645096,25.389854,1.0
-46.15861,22.797932,1.0
-4.8764772,54.197525,3.0
32.17396,29.575382,1.0
22.553438,24.574863,1.0
-65.836784,22.43767,1.0
-51.708828,7.182158,1.0
-63.043365,26.301737,5.0
29.966797,49.155773,1.0
18.151987,22.838552,1.0
-54.57851,-12.744983,4.0
-25.64191,0.0749715,4.0
66.33232,48.56746,1.0
-1.3184673,12.309033,1.0
2.6251254,-62.024612,3.0
10.427169,28.504025,4.0
2.7607467,6.6046495,1.0
-67.96958,25.419334,3.0
-44.3465,22.710981,1.0
-15.715666,3.2557225,4.0
-75.41675,28.29324,3.0
29.27753,2.5404544,4.0
28.236944,21.116371,4.0
20.500385,18.28282,1.0
19.870188,57.8001,4.0
6.7426653,8.979913,1.0
-57.2041,21.80289,1.0
-34.71835,-70.34361,1.0
-18.795843,15.6954565,1.0
-28.58921,8.374471,4.0
61.438736,50.26353,1.0
-48.755352,17.685266,1.0
-9.542614,51.2483,1.0
31.460945,42.505535,1.0
-65.4368,23.368137,3.0
-46.830948,-8.817909,4.0
62.34451,47.671597,1.0
-27.004831,2.5570037,4.0
49.67188,-2.1378345,4.0
33.367466,19.803484,3.0
-78.624275,31.57477,5.0
-15.362833,16.038017,3.0
9.926937,-12.737392,4.0
9.369351,65.56519,1.0
-50.675175,27.617779,1.0
12.024053,25.817863,1.0
16.222498,57.485394,1.0
45.01844,-13.407858,4.0
23.337397,1.4825387,1.0
6.4106436,10.686834,3.0
-8.710345,20.046053,4.0
-38.008793,-1.1038078,1.0
-5.6746397,-16.028103,4.0
-49.310673,26.240423,1.0
-50.01012,-54.808464,4.0
-45.883495,-55.204395,1.0
-52.546116,7.713235,1.0
26.63051,25.27796,1.0
-73.790016,28.937555,1.0
-37.73047,-7.859495,4.0
22.811184,45.373013,1.0
46.094604,-15.916677,5.0
21.99469,51.450466,1.0
-20.797394,-24.929707,1.0
-55.123413,-2.6165044,4.0
-64.4699,23.774326,4.0
-63.150394,14.446669,4.0
44.834118,-13.556435,4.0
0.76031667,35.3366,4.0
15.527227,18.671694,3.0
14.218275,-5.124268,1.0
1.1715509,16.3813,1.0
-43.190258,-6.4680095,4.0
-27.287914,39.89683,1.0
-29.58198,41.39638,3.0
31.69244,20.626873,1.0
21.40993,48.063435,4.0
-61.849804,16.166906,1.0
23.834017,-4.882199,3.0
-0.59713805,23.20087,4.0
13.170588,-4.955035,4.0
-52.018784,3.8237686,4.0
0.6710107,-59.836433,4.0
-78.63518,29.181688,4.0
31.827896,28.576242,1.0
-52.2001,6.821582,4.0
-45.745724,4.742413,1.0
6.457356,7.228936,1.0
6.634185,10.646715,1.0
-31.438313,3.5832813,4.0
-54.022095,-11.60715,4.0
12.778941,-4.766802,4.0
14.009326,17.652775,4.0
-8.064386,20.086258,4.0
-69.046135,23.665676,1.0
-8.223861,44.091526,3.0
-77.47778,21.647284,5.0
6.5322804,32.447323,1.0
-46.803288,18.928999,1.0
25.855747,23.66281,4.0
29.744192,51.96554,1.0
6.061958,21.196507,1.0
-9.227442,53.195786,3.0
-21.36202,-24.953018,4.0
-0.67412096,19.4594,1.0
-71.95457,18.118237,1.0
-50.685394,22.403307,1.0
-63.957176,14.391104,4.0
-63.47994,14.12978,3.0
4.6855464,-11.114141,
2.7417457,6.4573474,1.0
-7.0567675,6.0636506,1.0
-56.82509,-25.95603,4.0
34.175377,41.85304,1.0
25.902277,37.783577,1.0
14.952049,-1.4623898,1.0
14.683979,30.920033,1.0
29.480421,-60.370785,4.0
18.169846,-3.6136096,1.0
8.799911,36.829372,1.0
24.531218,48.685596,1.0
55.66607,-25.639265,3.0
13.692638,26.956434,4.0
-17.803219,-13.403697,
-8.880195,-71.6277,1.0
-7.163702,28.374563,1.0
-73.410126,30.557943,1.0
-73.01226,28.918415,1.0
-76.375496,29.9512,1.0
-77.669716,30.267733,5.0
-74.64789,27.239447,1.0
-75.6844,28.73583,3.0
-79.50283,30.111538,3.0
-59.856834,18.450739,1.0
-74.65817,29.791721,1.0
-59.359,18.356014,1.0
-73.72998,29.488104,1.0
-47.352383,-12.949202,1.0
13.828427,-76.20431,1.0
6.945295,-83.180214,
-11.510535,19.944092,4.0
18.77325,22.555542,1.0
-76.56667,26.863344,4.0
-1.9555895,-0.9893085,1.0
-47.04041,10.455213,1.0
19.23946,55.08173,5.0
30.471346,31.675291,1.0
-6.7052345,16.825212,4.0
-55.499504,-23.179638,1.0
-58.890675,18.507132,1.0
10.876189,29.529318,1.0
49.00221,-8.751446,1.0
22.927607,56.74395,1.0
-37.19171,-66.53665,1.0
-1.0644435,18.454967,3.0
-57.72461,-0.7392496,3.0
2.428937,19.553593,1.0
-9.342756,-66.52687,4.0
-43.208294,-65.53945,1.0
28.115768,52.460045,1.0
50.025017,-21.894756,1.0
73.54644,-19.522858,4.0
-10.417214,45.748047,1.0
48.12433,-25.18741,
18.205284,18.337753,1.0
-5.556761,54.88031,3.0
-1.3476642,-9.9089,4.0
-29.197945,44.197613,4.0
-74.93045,29.386143,3.0
61.76643,-27.44016,1.0
7.125081,59.892715,4.0
-50.77311,23.681387,1.0
19.129597,17.777908,1.0
-47.91915,16.297281,1.0
3.8683975,35.98068,3.0
2.489936,19.51929,1.0
-56.98629,-18.028889,1.0
13.748265,26.743332,5.0
-36.96344,-10.424636,4.0
-29.718752,-28.511433,4.0
-47.399323,9.990962,1.0
-50.07136,48.94288,1.0
4.8927765,30.444405,1.0
10.325849,-35.49187,3.0
3.1083665,-65.55432,4.0
-18.563442,-12.960815,3.0
0.17839517,28.193872,4.0
23.376974,40.02508,1.0
-22.151232,1.9468135,1.0
21.076595,53.768616,5.0
-5.5764756,10.294601,4.0
15.102639,-78.437775,3.0
26.775694,25.215,4.0
56.914677,51.36152,4.0
0.57424074,14.160377,1.0
74.284004,18.459255,4.0
0.97186124,46.401203,1.0
56.13009,-19.493465,4.0
-8.005383,43.77989,4.0
-51.507645,13.518403,1.0
-9.444895,24.63011,1.0
29.119396,25.153606,1.0
14.273637,21.512444,1.0
-42.7252,-8.801229,3.0
-25.32884,6.5366817,4.0
-26.695595,-9.228172,1.0
-11.713007,44.07178,1.0
-10.3964815,-1.1930017,1.0
-10.690867,-64.30246,
-45.363598,18.478086,3.0
29.213762,31.746138,1.0
57.175385,-15.464371,4.0
-42.320015,-33.573486,1.0
19.556177,2.2672653,3.0
-71.91367,27.601805,1.0
-14.556457,-18.966621,3.0
-72.02169,27.521051,1.0
